participant_id	session_id	eeg_made_task-VEP_acq-eeg_preprocessingReport_task	eeg_made_task-VEP_acq-eeg_preprocessingReport_line_noise	eeg_made_task-VEP_acq-eeg_preprocessingReport_reference_for_faster	eeg_made_task-VEP_acq-eeg_preprocessingReport_faster_bad_channels	eeg_made_task-VEP_acq-eeg_preprocessingReport_ica_prep_bad_channels	eeg_made_task-VEP_acq-eeg_preprocessingReport_length_ica_data	eeg_made_task-VEP_acq-eeg_preprocessingReport_total_ICs	eeg_made_task-VEP_acq-eeg_preprocessingReport_ICs_removed	eeg_made_task-VEP_acq-eeg_preprocessingReport_total_epochs_pre_artifact_rej	eeg_made_task-VEP_acq-eeg_preprocessingReport_total_epochs_post_artifact_rej	eeg_made_task-VEP_acq-eeg_preprocessingReport_FACE_UpInv	eeg_made_task-VEP_acq-eeg_preprocessingReport_FACE_Inv	eeg_made_task-VEP_acq-eeg_preprocessingReport_FACE_Obj	eeg_made_task-VEP_acq-eeg_preprocessingReport_FACE_UpObj	eeg_made_task-VEP_acq-eeg_preprocessingReport_MMN_Standard	eeg_made_task-VEP_acq-eeg_preprocessingReport_MMN_PreDev	eeg_made_task-VEP_acq-eeg_preprocessingReport_MMN_Dev	eeg_made_task-VEP_acq-eeg_preprocessingReport_total_channels_interp	eeg_made_task-VEP_acq-eeg_preprocessingReport_avg_chan_interp_artifact_rej	eeg_made_task-VEP_acq-eeg_preprocessingReport_std_chan_interp_artifact_rej	eeg_made_task-VEP_acq-eeg_preprocessingReport_range_chan_interp_artifact_rej
957523	V03	VEP	0.9964029	Cz	"E5 E6 E11 E25 E59 E60 E65 E96 E116"	0	1377	95	"2   7  11  26  27  36  47  53  79  85"	120	105	n/a	n/a	n/a	n/a	n/a	n/a	n/a	9	2.18095238095238	2.81746255309547	10
515059	V03	VEP	0.9817933	Cz	E4	0	1127	103	"2   5   8  11  12  16  20  21  28  31  35  37  41  61  73  82  84"	120	108	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1	1.98148148148148	2.50226619336505	10
284508	V03	VEP	0.9683028	Cz	"E14 E96 E124"	0	1222	101	"3   9  11  13  14  16  17  19  25  28  34  42  44  50  59  61  66"	120	120	n/a	n/a	n/a	n/a	n/a	n/a	n/a	3	0.208333333333333	0.829050619668057	7
233710	V03	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
307949	V03	VEP	0.6897546	Cz	"E31 E54 E70 E118 E122"	0	1008	99	0	120	116	n/a	n/a	n/a	n/a	n/a	n/a	n/a	5	0.0603448275862069	0.401925649699116	4
179272	V03	VEP	0.9196242	Cz	"E1 E24 E35 E37 E40 E41 E69 E106"	0	1149	96	"1   4  16  18  20  38  40  45  69  76"	120	119	n/a	n/a	n/a	n/a	n/a	n/a	n/a	8	0.126050420168067	0.402421101831122	3
979675	V03	VEP	0.9960803	Cz	"E2 E8 E23 E26"	0	1266	100	"3  13  14  15  17  19  38  71  73  80  82"	120	106	n/a	n/a	n/a	n/a	n/a	n/a	n/a	4	1.74528301886792	2.60425044788859	10
654077	V03	VEP	0.989055	Cz	"E35 E105 E108 E123"	0	1190	100	"2   3   4   6  10  11  12  13  16  23  24  27  28  29  32  50  77  82"	120	101	n/a	n/a	n/a	n/a	n/a	n/a	n/a	4	1.64356435643564	2.43139531304904	10
255490	V03	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
860562	V03	VEP	0.4068497	Cz	E70	0	1124	103	"4   7   9  10  11  12  16  17  23  24  25  26  30  35  36  45  47  57  91"	120	87	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1	3.18390804597701	3.10112033631127	10
164209	V03	VEP	0.9539956	Cz	"E8 E21 E25 E57 E86 E108 E110"	0	1272	97	"3   9  11  14  16  21  24  28  29  39  51  64  69"	120	115	n/a	n/a	n/a	n/a	n/a	n/a	n/a	7	0.382608695652174	1.15152537048521	8
117774	V03	VEP	0.7657088	Cz	"E9 E30"	0	1171	102	"7  17  23  24  30  31  36  39  55  56  60  61  64"	120	57	n/a	n/a	n/a	n/a	n/a	n/a	n/a	2	5.42105263157895	2.91515356383705	10
317304	V03	VEP	0.9885181	Cz	E123	0	1730	103	"8  14  15  16  18  19  20  23  25  33  38  42  46  51  52  59  62  64  65  67  68  69  70  73  76  78  80  85  87  88  91  97  99"	120	111	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1	0.90990990990991	1.46193862294713	8
181722	V03	VEP	0.973899	Cz	"E5 E25 E110"	0	1601	101	"2   5  10  20  21  24  27  29  32  35  42  46  51  55  63  66  70  78  87  89  99"	120	111	n/a	n/a	n/a	n/a	n/a	n/a	n/a	3	2.05405405405405	1.67243881713251	10
620027	V03	VEP	0.9999651	Cz	"E21 E25 E32 E39 E108 E110 E118"	0	1242	97	"1  11  16  27  39  41  44  54  82  92"	120	116	n/a	n/a	n/a	n/a	n/a	n/a	n/a	7	0.620689655172414	1.43044640289115	8
553112	V03	VEP	0.9997842	Cz	"E75 E80 E97 E110"	0	1214	100	"21  22  28  35  40  42  59  60  65  78"	120	99	n/a	n/a	n/a	n/a	n/a	n/a	n/a	4	1.77777777777778	2.70885002920531	10
800605	V03	VEP	0.729257	Cz	"E8 E18 E21 E55 E83 E108 E109"	0	625	97	"3   6   7  10  11  21  28  35  37  38  40  46  53  54  67"	120	114	n/a	n/a	n/a	n/a	n/a	n/a	n/a	7	0.587719298245614	1.3620092101931	9
231265	V03	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
695640	V03	VEP	0.9474944	Cz	"E25 E37 E51 E66 E110"	0	1232	99	"11  13  18  27  29  36  37  42  44  48  49"	120	118	n/a	n/a	n/a	n/a	n/a	n/a	n/a	5	0.127118644067797	0.382224934211765	2
698909	V03	VEP	0.9973071	Cz	"E8 E14 E54 E100 E109"	0	1338	99	"3  12  16  21  26  42  43  46  56"	120	120	n/a	n/a	n/a	n/a	n/a	n/a	n/a	5	0.341666666666667	0.654600183745944	4
